id,collection,theme,theme_label,subniche,lang,title,tags,file_dark,file_light
he_anticapital_en,heart,politics,Activist & Leftist,,en,I love Anti-Capitalism | Activist & Leftist (English) Design,"activist, eat the rich, anti capitalist, leftist, protest, revolution, socialist, class war, love, anti, capitalism, heart, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_anticapital_en__dark.png,produits/heart/he_anticapital_en__light.png
he_billionaires_taxes_en,heart,politics,Activist & Leftist,,en,I love Billionaires not Billionaires but Taxes | Activist & Leftist (English) Design,"activist, eat the rich, anti capitalist, leftist, protest, revolution, socialist, class war, love, billionaires, taxes, heart, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_billionaires_taxes_en__dark.png,produits/heart/he_billionaires_taxes_en__light.png
he_capitalism_planet_en,heart,climate,Climate & Ecology,,en,I love Capitalism not Capitalism but The Planet | Climate & Ecology (English) Design,"climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, love, capitalism, planet, heart, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_capitalism_planet_en__dark.png,produits/heart/he_capitalism_planet_en__light.png
he_chaos_fr,heart,humor,Funny & Sarcastic,,fr,J' love Le Chaos | Funny & Sarcastic (French) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, love, chaos, heart, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_chaos_fr__dark.png,produits/heart/he_chaos_fr__light.png
he_chats_lutte_fr,heart,cats,Cats,,fr,J' love Les Chats Et La Lutte | Cats (French) Design,"cat lover, cat mom, cat dad, cat lady, crazy cat, kitten, cat gift, love, chats, lutte, heart, cats, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_chats_lutte_fr__dark.png,produits/heart/he_chats_lutte_fr__light.png
he_co2_en,heart,climate,Climate & Ecology,,en,I love CO2 | Climate & Ecology (English) Design,"climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, love, heart, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_co2_en__dark.png,produits/heart/he_co2_en__light.png
he_drama_en,heart,humor,Funny & Sarcastic,,en,I love Drama | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, love, drama, heart, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_drama_en__dark.png,produits/heart/he_drama_en__light.png
he_drama_plants_en,heart,humor,Funny & Sarcastic,,en,I love Drama not Drama but My Plants | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, love, drama, plants, heart, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_drama_plants_en__dark.png,produits/heart/he_drama_plants_en__light.png
he_fast_fashion_thrift_en,heart,humor,Funny & Sarcastic,,en,I love Fast Fashion not Fast Fashion but Thrifting | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, love, fast, fashion, thrifting, heart, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_fast_fashion_thrift_en__dark.png,produits/heart/he_fast_fashion_thrift_en__light.png
he_foule_canape_fr,heart,humor,Funny & Sarcastic,,fr,J' love La Foule not La Foule but Mon Canapé | Funny & Sarcastic (French) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, love, foule, canapé, heart, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_foule_canape_fr__dark.png,produits/heart/he_foule_canape_fr__light.png
