id,collection,theme,theme_label,subniche,lang,title,description,tags,files
baker,humour_patchs,professions,Jobs & Professions,,,Baker - Jobs & Professions Design,"""Baker"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, baker, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/humour_patchs/baker___embroidery_patch___base_20260610_1240.png | produits/humour_patchs/baker___embroidery_patch___base_20260610_1435.png
barista,humour_patchs,professions,Jobs & Professions,,,Barista - Jobs & Professions Design,"""Barista"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, barista, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/humour_patchs/barista___embroidery_patch___base_20260610_1254.png | produits/humour_patchs/barista___embroidery_patch___base_20260610_1449.png
chef,humour_patchs,professions,Jobs & Professions,,,Chef - Jobs & Professions Design,"""Chef"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, chef, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/humour_patchs/chef___embroidery_patch___base_20260610_1252.png | produits/humour_patchs/chef___embroidery_patch___base_20260610_1447.png
developer,humour_patchs,professions,Jobs & Professions,,,Developer - Jobs & Professions Design,"""Developer"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, developer, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/humour_patchs/developer___embroidery_patch___base_20260610_1252.png | produits/humour_patchs/developer___embroidery_patch___base_20260610_1446.png
firefighter,humour_patchs,professions,Jobs & Professions,,,Firefighter - Jobs & Professions Design,"""Firefighter"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, firefighter, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/humour_patchs/firefighter___embroidery_patch___base_20260610_1253.png | produits/humour_patchs/firefighter___embroidery_patch___base_20260610_1448.png
nurse,humour_patchs,professions,Jobs & Professions,,,Nurse - Jobs & Professions Design,"""Nurse"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, nurse, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/humour_patchs/nurse___embroidery_patch___base_20260610_1445.png
teacher,humour_patchs,professions,Jobs & Professions,,,Teacher - Jobs & Professions Design,"""Teacher"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, teacher, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/humour_patchs/teacher___embroidery_patch___base_20260610_1446.png
id_barista_en,identite,professions,Jobs & Professions,,en,Barista - Jobs & Professions Design,"""Barista"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, barista, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/identite/id_barista_en__dark.png | produits/identite/id_barista_en__light.png
id_farmer_en,identite,professions,Jobs & Professions,,en,Farmer - Jobs & Professions Design,"""Farmer"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, farmer, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/identite/id_farmer_en__dark.png | produits/identite/id_farmer_en__light.png
id_firefighter_en,identite,professions,Jobs & Professions,,en,Firefighter - Jobs & Professions Design,"""Firefighter"" in clean minimalist typography. A statement design for people proud of their job. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #professions #typography","nurse gift, teacher gift, coworker gift, job humor, profession, firefighter, jobs & professions, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/identite/id_firefighter_en__dark.png | produits/identite/id_firefighter_en__light.png
