id,collection,theme,theme_label,subniche,lang,title,description,tags,file_dark,file_light
an_anti_fr,anti,politics,Activist & Leftist,,fr,"Anti Fascisme, Capitalisme, Ultra-Riches, Pollueurs, Racisme, Patriarcat, - Activist & Leftist (French) Design","« Anti Fascisme, Capitalisme, Ultra-Riches, Pollueurs, Racisme, Patriarcat, » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, anti, fascisme, capitalisme, ultra, riches, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_anti_fr__dark.png,produits/anti/an_anti_fr__light.png
an_marre_fr,anti,politics,Activist & Leftist,,fr,"Marre Des Milliardaires, Excuses, Pollueurs, Fachos, Mensonges, Burn-Out, - Activist & Leftist (French) Design","« Marre Des Milliardaires, Excuses, Pollueurs, Fachos, Mensonges, Burn-Out, » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, marre, milliardaires, excuses, pollueurs, fachos, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_marre_fr__dark.png,produits/anti/an_marre_fr__light.png
an_tired_en,anti,politics,Activist & Leftist,,en,"Tired Of Billionaires, Excuses, Greenwashing, Bigots, Lies, Hustle, - Activist & Leftist Typography Design","""Tired Of Billionaires, Excuses, Greenwashing, Bigots, Lies, Hustle,"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, tired, billionaires, excuses, greenwashing, bigots, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_tired_en__dark.png,produits/anti/an_tired_en__light.png
ar_antifa_fr,arrow,politics,Activist & Leftist,,fr,Mon Pote Est Antifa - Activist & Leftist (French) Design,"« Mon Pote Est Antifa » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, pote, antifa, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/arrow/ar_antifa_fr__dark.png,produits/arrow/ar_antifa_fr__light.png
ar_resistance_en,arrow,politics,Activist & Leftist,,en,I'm With The Resistance - Activist & Leftist Typography Design,"""I'm With The Resistance"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, resistance, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/arrow/ar_resistance_en__dark.png,produits/arrow/ar_resistance_en__light.png
co_cest_capitalisme_fr,corrige,politics,Activist & Leftist,,fr,C'Est La Vie → Faute Du Capitalisme - Activist & Leftist (French) Design,"« C'Est La Vie → Faute Du Capitalisme » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, c'est, faute, capitalisme, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_cest_capitalisme_fr__dark.png,produits/corrige/co_cest_capitalisme_fr__light.png
co_eat_sleep_en,corrige,politics,Activist & Leftist,,en,"Eat, Sleep, Consume → Resist, Repeat - Activist & Leftist Typography Design","""Eat, Sleep, Consume → Resist, Repeat"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, sleep, consume, resist, repeat, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_eat_sleep_en__dark.png,produits/corrige/co_eat_sleep_en__light.png
co_have_nice_en,corrige,politics,Activist & Leftist,,en,Have A Nice Day → Revolution - Activist & Leftist Typography Design,"""Have A Nice Day → Revolution"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, nice, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_have_nice_en__dark.png,produits/corrige/co_have_nice_en__light.png
co_just_do_en,corrige,politics,Activist & Leftist,,en,Just Do It → Your Taxes - Activist & Leftist Typography Design,"""Just Do It → Your Taxes"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, taxes, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_just_do_en__dark.png,produits/corrige/co_just_do_en__light.png
co_live_laugh_en,corrige,politics,Activist & Leftist,,en,"Live, Laugh, Love → Resist - Activist & Leftist Typography Design","""Live, Laugh, Love → Resist"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, live, laugh, love, resist, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_live_laugh_en__dark.png,produits/corrige/co_live_laugh_en__light.png
co_manager_en,corrige,politics,Activist & Leftist,,en,I'd Like To Speak To The Manager → Revolution - Activist & Leftist Typography Design,"""I'd Like To Speak To The Manager → Revolution"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, speak, manager, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_manager_en__dark.png,produits/corrige/co_manager_en__light.png
co_naturel_fr,corrige,politics,Activist & Leftist,,fr,"Chassez Le Naturel, Il Revient Au Galop → Taxez Les Riches - Activist & Leftist (French) Design","« Chassez Le Naturel, Il Revient Au Galop → Taxez Les Riches » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, chassez, naturel, revient, galop, taxez, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_naturel_fr__dark.png,produits/corrige/co_naturel_fr__light.png
co_patron_naif_fr,corrige,politics,Activist & Leftist,,fr,Mon Patron Pense Que Je Suis Loyal → Syndiqué - Activist & Leftist (French) Design,"« Mon Patron Pense Que Je Suis Loyal → Syndiqué » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, patron, pense, suis, loyal, syndiqué, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_patron_naif_fr__dark.png,produits/corrige/co_patron_naif_fr__light.png
co_temps_argent_fr,corrige,politics,Activist & Leftist,,fr,"Le Temps, C'Est De L'Argent → C'Est Pour Les Riches - Activist & Leftist (French) Design","« Le Temps, C'Est De L'Argent → C'Est Pour Les Riches » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, temps, c'est, l'argent, riches, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_temps_argent_fr__dark.png,produits/corrige/co_temps_argent_fr__light.png
co_travaille_chat_fr,corrige,politics,Activist & Leftist,,fr,Je Travaille Dur Pour Que Mon Patron → Chat - Activist & Leftist (French) Design,"« Je Travaille Dur Pour Que Mon Patron → Chat » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, travaille, patron, chat, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_travaille_chat_fr__dark.png,produits/corrige/co_travaille_chat_fr__light.png
fm_caution_antifa_fr,formats,politics,Activist & Leftist,caution,fr,Attention Zone Antifa - Activist & Leftist (French) Design,"« Attention Zone Antifa » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, attention, zone, antifa, caution, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_caution_antifa_fr__dark.png,produits/formats/fm_caution_antifa_fr__light.png
fm_err_system_en,formats,politics,Activist & Leftist,error,en,Capitalism Failed - Activist & Leftist Typography Design,"""Capitalism Failed"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, capitalism, failed, error, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_err_system_en__dark.png,produits/formats/fm_err_system_en__light.png
fm_load_revolution_en,formats,politics,Activist & Leftist,loading,en,Revolution Loading… - Activist & Leftist Typography Design,"""Revolution Loading…"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, loading, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_load_revolution_en__dark.png,produits/formats/fm_load_revolution_en__light.png
fm_load_revolution_fr,formats,politics,Activist & Leftist,loading,fr,Révolution En Cours… - Activist & Leftist (French) Design,"« Révolution En Cours… » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, révolution, cours, loading, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_load_revolution_fr__dark.png,produits/formats/fm_load_revolution_fr__light.png
fm_rx_naps_en,formats,politics,Activist & Leftist,rx,en,Prescription 2 naps a day Touch grass Less doomscrolling Tax the rich - Activist & Leftist Typography Design,"""Prescription 2 naps a day Touch grass Less doomscrolling Tax the rich"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, prescription, naps, touch, grass, less, rx, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_rx_naps_en__dark.png,produits/formats/fm_rx_naps_en__light.png
fm_rx_self_en,formats,politics,Activist & Leftist,rx,en,"Prescription Rest, no guilt Set boundaries Block the haters Hydrate & resist - Activist & Leftist Typography Design","""Prescription Rest, no guilt Set boundaries Block the haters Hydrate & resist"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, prescription, rest, guilt, boundaries, block, rx, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_rx_self_en__dark.png,produits/formats/fm_rx_self_en__light.png
fm_rx_siestes_fr,formats,politics,Activist & Leftist,rx,fr,Ordonnance 2 siestes par jour Café à volonté 0 réunion inutile Limiter les cons - Activist & Leftist (French) Design,"« Ordonnance 2 siestes par jour Café à volonté 0 réunion inutile Limiter les cons » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, ordonnance, siestes, jour, café, volonté, rx, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_rx_siestes_fr__dark.png,produits/formats/fm_rx_siestes_fr__light.png
he_anticapital_en,heart,politics,Activist & Leftist,,en,I love Anti-Capitalism - Activist & Leftist Typography Design,"""I love Anti-Capitalism"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, love, anti, capitalism, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/heart/he_anticapital_en__dark.png,produits/heart/he_anticapital_en__light.png
he_billionaires_taxes_en,heart,politics,Activist & Leftist,,en,I love Taxes not Billionaires - Activist & Leftist Typography Design,"""I love Taxes not Billionaires"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, love, taxes, billionaires, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/heart/he_billionaires_taxes_en__dark.png,produits/heart/he_billionaires_taxes_en__light.png
he_la_greve_fr,heart,politics,Activist & Leftist,,fr,J' love La Grève - Activist & Leftist (French) Design,"« J' love La Grève » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, love, grève, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/heart/he_la_greve_fr__dark.png,produits/heart/he_la_greve_fr__light.png
he_patron_weekend_fr,heart,politics,Activist & Leftist,,fr,J' love Le Week-End not Mon Patron - Activist & Leftist (French) Design,"« J' love Le Week-End not Mon Patron » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, love, week, patron, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/heart/he_patron_weekend_fr__dark.png,produits/heart/he_patron_weekend_fr__light.png
id_antifa_en,identite,politics,Activist & Leftist,,en,Antifa - Activist & Leftist Typography Design,"""Antifa"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, antifa, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/identite/id_antifa_en__dark.png,produits/identite/id_antifa_en__light.png
coh_miaulements_fr,niches,politics,Activist & Leftist,cat_over_humans,fr,Je préfère ses miaulements à vos réunions - Activist & Leftist (French) Design,"« Je préfère ses miaulements à vos réunions » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, préfère, miaulements, réunions, cat over humans, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/coh_miaulements_fr__dark.png,produits/niches/coh_miaulements_fr__light.png
