id,collection,theme,theme_label,subniche,lang,title,description,tags,files
pv_abeille_pesticide_fr,proverbes,climate,Climate & Ecology,,fr,Une Abeille Vaut Mieux Que Deux Pesticides - Climate & Ecology (French) Design,"« Une Abeille Vaut Mieux Que Deux Pesticides » en typographie minimaliste et percutante. Un design pour les militant·es écolo. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #climate #typographie","climate change, save the planet, ecology, environment, climate activist, eco friendly, abeille, vaut, mieux, deux, pesticides, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_abeille_pesticide_fr__dark.png | produits/proverbes/pv_abeille_pesticide_fr__light.png
pv_actions_prayers_en,proverbes,humor,Funny & Sarcastic,,en,Actions Speak Louder Than Thoughts And Prayers - Funny & Sarcastic Design,"""Actions Speak Louder Than Thoughts And Prayers"" in clean minimalist typography. A statement design for anyone with a sense of humor. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #humor #typography","funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, relatable, actions, speak, louder, than, thoughts, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_actions_prayers_en__dark.png | produits/proverbes/pv_actions_prayers_en__light.png
pv_aide_toi_fr,proverbes,humor,Funny & Sarcastic,,fr,Aide-Toi Et Le Ciel... Non. Aide Les Autres. - Funny & Sarcastic (French) Design,"« Aide-Toi Et Le Ciel... Non. Aide Les Autres. » en typographie minimaliste et percutante. Un design pour tous ceux qui ont de l'humour. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #humor #typographie","funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, relatable, aide, ciel, autres, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_aide_toi_fr__dark.png | produits/proverbes/pv_aide_toi_fr__light.png
pv_apple_throw_en,proverbes,humor,Funny & Sarcastic,,en,An Apple A Day Keeps Anyone Away If You Throw It Hard - Funny & Sarcastic Design,"""An Apple A Day Keeps Anyone Away If You Throw It Hard"" in clean minimalist typography. A statement design for anyone with a sense of humor. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #humor #typography","funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, relatable, apple, keeps, anyone, away, throw, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_apple_throw_en__dark.png | produits/proverbes/pv_apple_throw_en__light.png
pv_arbre_cache_foret_fr,proverbes,humor,Funny & Sarcastic,,fr,L'Arbre Qui Cache La Forêt Qu'On A Rasée - Funny & Sarcastic (French) Design,"« L'Arbre Qui Cache La Forêt Qu'On A Rasée » en typographie minimaliste et percutante. Un design pour tous ceux qui ont de l'humour. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #humor #typographie","funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, relatable, l'arbre, cache, forêt, qu'on, rasée, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_arbre_cache_foret_fr__dark.png | produits/proverbes/pv_arbre_cache_foret_fr__light.png
pv_argent_loyer_fr,proverbes,work,Work & Office Humor,,fr,"L'Argent Ne Fait Pas Le Bonheur, Mais Il Paie Le Loyer - Work & Office Humor (French) Design","« L'Argent Ne Fait Pas Le Bonheur, Mais Il Paie Le Loyer » en typographie minimaliste et percutante. Un design pour les salarié·es fatigué·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #work #typographie","office humor, work shirt, coworker gift, monday, sarcastic work, l'argent, bonheur, paie, loyer, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_argent_loyer_fr__dark.png | produits/proverbes/pv_argent_loyer_fr__light.png
pv_bee_ecosystem_en,proverbes,climate,Climate & Ecology,,en,A Bee In The Hand Is Worth The Whole Ecosystem - Climate & Ecology Design,"""A Bee In The Hand Is Worth The Whole Ecosystem"" in clean minimalist typography. A statement design for climate activists and eco-conscious people. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #climate #typography","climate change, save the planet, ecology, environment, climate activist, eco friendly, hand, worth, whole, ecosystem, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_bee_ecosystem_en__dark.png | produits/proverbes/pv_bee_ecosystem_en__light.png
pv_birds_unionize_en,proverbes,politics,Activist & Leftist,,en,Birds Of A Feather Unionize Together - Activist & Leftist Design,"""Birds Of A Feather Unionize Together"" in clean minimalist typography. A statement design for activists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, birds, feather, unionize, together, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_birds_unionize_en__dark.png | produits/proverbes/pv_birds_unionize_en__light.png
pv_charite_riches_fr,proverbes,politics,Activist & Leftist,,fr,Charité Bien Ordonnée Commence Par Taxer Les Riches - Activist & Leftist (French) Design,"« Charité Bien Ordonnée Commence Par Taxer Les Riches » en typographie minimaliste et percutante. Un design pour les militant·es et engagé·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, charité, bien, ordonnée, commence, taxer, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_charite_riches_fr__dark.png | produits/proverbes/pv_charite_riches_fr__light.png
pv_chat_parti_fr,proverbes,cats,Cats,,fr,Quand Le Chat N'Est Pas Là Les Souris Télétravaillent - Cats (French) Design,"« Quand Le Chat N'Est Pas Là Les Souris Télétravaillent » en typographie minimaliste et percutante. Un design pour les fous et folles de chats. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #cats #typographie","cat lover, cat mom, cat dad, cat lady, crazy cat, kitten, quand, chat, n'est, souris, télétravaillent, cats, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_chat_parti_fr__dark.png | produits/proverbes/pv_chat_parti_fr__light.png
