id,collection,theme,theme_label,subniche,lang,title,tags,file_dark,file_light
so_ask_for_help_en,solidaire,solidarity,Solidarity & Kindness,,en,Asking For Help Is Brave | Solidarity & Kindness (English) Design,"be kind, you matter, solidarity, anti bullying, mental health support, kindness, asking, help, brave, solidaire, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_ask_for_help_en__dark.png,produits/solidaire/so_ask_for_help_en__light.png
so_bad_day_en,solidaire,solidarity,Solidarity & Kindness,,en,Bad Day? I've Got You | Solidarity & Kindness (English) Design,"be kind, you matter, solidarity, anti bullying, mental health support, kindness, i've, solidaire, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_bad_day_en__dark.png,produits/solidaire/so_bad_day_en__light.png
so_check_friends_en,solidaire,relationship,Relationship & Single,,en,Text Your Friends First | Relationship & Single (English) Design,"single, dating, anti valentine, divorce, relationship humor, couple, text, friends, first, solidaire, relationship & single, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_check_friends_en__dark.png,produits/solidaire/so_check_friends_en__light.png
so_demander_aide_fr,solidaire,solidarity,Solidarity & Kindness,,fr,"Demander De L'Aide, C'Est Du Courage | Solidarity & Kindness (French) Design","be kind, you matter, solidarity, anti bullying, mental health support, kindness, demander, l'aide, c'est, courage, solidaire, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_demander_aide_fr__dark.png,produits/solidaire/so_demander_aide_fr__light.png
so_gentillesse_fr,solidaire,relationship,Relationship & Single,,fr,Sois Gentil. Fort. Et Exprès. | Relationship & Single (French) Design,"single, dating, anti valentine, divorce, relationship humor, couple, sois, gentil, fort, exprès, solidaire, relationship & single, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_gentillesse_fr__dark.png,produits/solidaire/so_gentillesse_fr__light.png
so_harcelement_fr,solidaire,solidarity,Solidarity & Kindness,,fr,Le Harcèlement S'Arrête Avec Moi | Solidarity & Kindness (French) Design,"be kind, you matter, solidarity, anti bullying, mental health support, kindness, harcèlement, s'arrête, solidaire, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_harcelement_fr__dark.png,produits/solidaire/so_harcelement_fr__light.png
so_jamais_seul_fr,solidaire,solidarity,Solidarity & Kindness,,fr,Personne Ne Lutte Tout Seul | Solidarity & Kindness (French) Design,"be kind, you matter, solidarity, anti bullying, mental health support, kindness, personne, lutte, seul, solidaire, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_jamais_seul_fr__dark.png,produits/solidaire/so_jamais_seul_fr__light.png
so_je_marche_fr,solidaire,solidarity,Solidarity & Kindness,,fr,Besoin ? Je Marche Avec Toi | Solidarity & Kindness (French) Design,"be kind, you matter, solidarity, anti bullying, mental health support, kindness, besoin, marche, solidaire, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_je_marche_fr__dark.png,produits/solidaire/so_je_marche_fr__light.png
so_kind_loud_en,solidaire,solidarity,Solidarity & Kindness,,en,Be Kind. Out Loud. On Purpose. | Solidarity & Kindness (English) Design,"be kind, you matter, solidarity, anti bullying, mental health support, kindness, kind, loud, purpose, solidaire, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_kind_loud_en__dark.png,produits/solidaire/so_kind_loud_en__light.png
so_lonely_talk_en,solidaire,solidarity,Solidarity & Kindness,,en,Lonely? Talk To Me | Solidarity & Kindness (English) Design,"be kind, you matter, solidarity, anti bullying, mental health support, kindness, lonely, talk, solidaire, solidarity & kindness, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/solidaire/so_lonely_talk_en__dark.png,produits/solidaire/so_lonely_talk_en__light.png
