id,collection,theme,theme_label,subniche,lang,title,description,tags,file_dark,file_light
wa_babylone_fr,warning,antiracism,Anti-Racism,,fr,Babylone Tue (À Petit Feu) - Anti-Racism (French) Design,"« Babylone Tue (À Petit Feu) » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, babylone, petit, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_babylone_fr__dark.png,produits/warning/wa_babylone_fr__light.png
wa_betise_fr,warning,politics,Activist & Leftist,,fr,La Bêtise Tue (Et Se Reproduit) - Activist & Leftist (French) Design,"« La Bêtise Tue (Et Se Reproduit) » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, bêtise, reproduit, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_betise_fr__dark.png,produits/warning/wa_betise_fr__light.png
wa_capitalism_en,warning,politics,Activist & Leftist,,en,Capitalism Kills (And Knows It) - Activist & Leftist Typography Design,"""Capitalism Kills (And Knows It)"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, capitalism, kills, knows, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_capitalism_en__dark.png,produits/warning/wa_capitalism_en__light.png
wa_capitalisme_fr,warning,politics,Activist & Leftist,,fr,Le Capitalisme Tue (Et Le Sait) - Activist & Leftist (French) Design,"« Le Capitalisme Tue (Et Le Sait) » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, capitalisme, sait, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_capitalisme_fr__dark.png,produits/warning/wa_capitalisme_fr__light.png
wa_climate_en,warning,climate,Climate & Ecology,,en,Climate Inaction Kills - Climate & Ecology Typography Design,"""Climate Inaction Kills"" in clean gold-and-black minimalist typography. A statement design for climate activists and eco-conscious people. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #climate #typography","climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, climate, inaction, kills, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_climate_en__dark.png,produits/warning/wa_climate_en__light.png
wa_deforestation_en,warning,climate,Climate & Ecology,,en,Deforestation Kills - Climate & Ecology Typography Design,"""Deforestation Kills"" in clean gold-and-black minimalist typography. A statement design for climate activists and eco-conscious people. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #climate #typography","climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, deforestation, kills, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_deforestation_en__dark.png,produits/warning/wa_deforestation_en__light.png
wa_deforestation_fr,warning,climate,Climate & Ecology,,fr,La Déforestation Tue - Climate & Ecology (French) Design,"« La Déforestation Tue » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es écolo et les éco-conscient·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #climate #typographie","climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, déforestation, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_deforestation_fr__dark.png,produits/warning/wa_deforestation_fr__light.png
wa_fastfashion_en,warning,politics,Activist & Leftist,,en,Fast Fashion Kills - Activist & Leftist Typography Design,"""Fast Fashion Kills"" in clean gold-and-black minimalist typography. A statement design for activists, leftists and the politically loud. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #politics #typography","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, fast, fashion, kills, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_fastfashion_en__dark.png,produits/warning/wa_fastfashion_en__light.png
wa_fastfashion_fr,warning,politics,Activist & Leftist,,fr,La Fast Fashion Tue - Activist & Leftist (French) Design,"« La Fast Fashion Tue » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es et les engagé·es politiquement. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #politics #typographie","activist, eat the rich, anti capitalist, leftist, protest, revolution, class war, fast, fashion, activist & leftist, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_fastfashion_fr__dark.png,produits/warning/wa_fastfashion_fr__light.png
wa_inaction_fr,warning,climate,Climate & Ecology,,fr,L'Inaction Climatique Tue - Climate & Ecology (French) Design,"« L'Inaction Climatique Tue » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es écolo et les éco-conscient·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #climate #typographie","climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, l'inaction, climatique, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/warning/wa_inaction_fr__dark.png,produits/warning/wa_inaction_fr__light.png
