id,collection,theme,theme_label,subniche,lang,title,description,tags,file_dark,file_light
an_alergique_fr,anti,work,Work & Office Humor,,fr,"Allergique Aux Fachos, Patrons, Lundis, Hypocrites, Cons, Menteurs, - Work & Office Humor (French) Design","« Allergique Aux Fachos, Patrons, Lundis, Hypocrites, Cons, Menteurs, » en typographie or et noir, minimaliste et percutante. Un design pour les salarié·es fatigué·es et accros au bureau. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #work #typographie","office humor, work shirt, coworker gift, monday, sarcastic work, allergique, fachos, patrons, lundis, hypocrites, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_alergique_fr__dark.png,produits/anti/an_alergique_fr__light.png
he_overtime_en,heart,work,Work & Office Humor,,en,I love Overtime - Work & Office Humor Typography Design,"""I love Overtime"" in clean gold-and-black minimalist typography. A statement design for tired employees and office workers. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #work #typography","office humor, work shirt, coworker gift, monday, sarcastic work, love, overtime, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/heart/he_overtime_en__dark.png,produits/heart/he_overtime_en__light.png
mal_bosse_fr,niches,work,Work & Office Humor,malinois,fr,Mon Malinois Bosse Moi Non - Work & Office Humor (French) Design,"« Mon Malinois Bosse Moi Non » en typographie or et noir, minimaliste et percutante. Un design pour les salarié·es fatigué·es et accros au bureau. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #work #typographie","office humor, work shirt, coworker gift, monday, sarcastic work, malinois, bosse, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/mal_bosse_fr__dark.png,produits/niches/mal_bosse_fr__light.png
swim_pool_office_en,niches,work,Work & Office Humor,swimming,en,The Pool Is My Office - Work & Office Humor Typography Design,"""The Pool Is My Office"" in clean gold-and-black minimalist typography. A statement design for tired employees and office workers. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #work #typography","office humor, work shirt, coworker gift, monday, sarcastic work, pool, office, swimming, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/swim_pool_office_en__dark.png,produits/niches/swim_pool_office_en__light.png
tennis_love_all_en,niches,work,Work & Office Humor,tennis,en,Love All (Except Mondays) - Work & Office Humor Typography Design,"""Love All (Except Mondays)"" in clean gold-and-black minimalist typography. A statement design for tired employees and office workers. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #work #typography","office humor, work shirt, coworker gift, monday, sarcastic work, love, except, mondays, tennis, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/tennis_love_all_en__dark.png,produits/niches/tennis_love_all_en__light.png
vet_underrated_en,niches,work,Work & Office Humor,vet_tech,en,"Underpaid, Overworked Totally Worth It - Work & Office Humor Typography Design","""Underpaid, Overworked Totally Worth It"" in clean gold-and-black minimalist typography. A statement design for tired employees and office workers. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #work #typography","office humor, work shirt, coworker gift, monday, sarcastic work, underpaid, overworked, totally, worth, vet tech, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/vet_underrated_en__dark.png,produits/niches/vet_underrated_en__light.png
pv_argent_loyer_fr,proverbes,work,Work & Office Humor,,fr,"L'Argent Ne Fait Pas Le Bonheur, Mais Il Paie Le Loyer - Work & Office Humor (French) Design","« L'Argent Ne Fait Pas Le Bonheur, Mais Il Paie Le Loyer » en typographie or et noir, minimaliste et percutante. Un design pour les salarié·es fatigué·es et accros au bureau. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #work #typographie","office humor, work shirt, coworker gift, monday, sarcastic work, l'argent, bonheur, paie, loyer, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/proverbes/pv_argent_loyer_fr__dark.png,produits/proverbes/pv_argent_loyer_fr__light.png
pl_99_en,punchlines,work,Work & Office Humor,,en,99 Problems And Rent Is 98 - Work & Office Humor Typography Design,"""99 Problems And Rent Is 98"" in clean gold-and-black minimalist typography. A statement design for tired employees and office workers. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #work #typography","office humor, work shirt, coworker gift, monday, sarcastic work, problems, rent, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_99_en__dark.png,produits/punchlines/pl_99_en__light.png
pl_99_loyer_fr,punchlines,work,Work & Office Humor,,fr,99 Problèmes Et Le Loyer En Est 98 - Work & Office Humor (French) Design,"« 99 Problèmes Et Le Loyer En Est 98 » en typographie or et noir, minimaliste et percutante. Un design pour les salarié·es fatigué·es et accros au bureau. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #work #typographie","office humor, work shirt, coworker gift, monday, sarcastic work, problèmes, loyer, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_99_loyer_fr__dark.png,produits/punchlines/pl_99_loyer_fr__light.png
pl_enfer_lundi_fr,punchlines,work,Work & Office Humor,,fr,L'Enfer C'Est Les Autres (Et Le Lundi) - Work & Office Humor (French) Design,"« L'Enfer C'Est Les Autres (Et Le Lundi) » en typographie or et noir, minimaliste et percutante. Un design pour les salarié·es fatigué·es et accros au bureau. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #work #typographie","office humor, work shirt, coworker gift, monday, sarcastic work, l'enfer, c'est, autres, lundi, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_enfer_lundi_fr__dark.png,produits/punchlines/pl_enfer_lundi_fr__light.png
