id,collection,theme,theme_label,subniche,lang,title,description,tags,files
he_drama_plants_en,heart,plants_garden,Plants & Garden,,en,I love My Plants not Drama - Plants & Garden Design,"« I love My Plants not Drama » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, love, plants, drama, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/heart/he_drama_plants_en__dark.png | produits/heart/he_drama_plants_en__light.png
gardener,humour_patchs,plants_garden,Plants & Garden,,,Gardener - Plants & Garden Design,"« Gardener » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, gardener, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/humour_patchs/gardener___embroidery_patch___base_20260610_1244.png | produits/humour_patchs/gardener___embroidery_patch___base_20260610_1439.png
id_gardener_en,identite,plants_garden,Plants & Garden,,en,Gardener - Plants & Garden Design,"« Gardener » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, gardener, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/identite/id_gardener_en__dark.png | produits/identite/id_gardener_en__light.png
ir_smarter_plants_en,ironique,plants_garden,Plants & Garden,,en,My Plants Have Better Takes Than You - Plants & Garden Design,"« My Plants Have Better Takes Than You » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, plants, better, takes, than, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/ironique/ir_smarter_plants_en__dark.png | produits/ironique/ir_smarter_plants_en__light.png
aoh_nature_en,niches,plants_garden,Plants & Garden,plants_over_humans,en,Trees Don't Ghost You I'm Just Saying - Plants & Garden Design,"« Trees Don't Ghost You I'm Just Saying » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, trees, don't, ghost, saying, plants over humans, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/aoh_nature_en__dark.png | produits/niches/aoh_nature_en__light.png
aoh_nature_fr,niches,plants_garden,Plants & Garden,plants_over_humans,fr,La forêt ne me juge pas Les gens oui - Plants & Garden (French) Design,"« La forêt ne me juge pas Les gens oui » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, forêt, juge, gens, plants over humans, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/aoh_nature_fr__dark.png | produits/niches/aoh_nature_fr__light.png
aoh_plants_en,niches,plants_garden,Plants & Garden,plants_over_humans,en,My Plants Listen People Interrupt - Plants & Garden Design,"« My Plants Listen People Interrupt » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, plants, listen, people, interrupt, plants over humans, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/aoh_plants_en__dark.png | produits/niches/aoh_plants_en__light.png
aoh_plants_fr,niches,plants_garden,Plants & Garden,plants_over_humans,fr,Mes plantes m'écoutent Les gens m'oublient - Plants & Garden (French) Design,"« Mes plantes m'écoutent Les gens m'oublient » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, plantes, m'écoutent, gens, m'oublient, plants over humans, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/aoh_plants_fr__dark.png | produits/niches/aoh_plants_fr__light.png
aoh_wifi_fr,niches,plants_garden,Plants & Garden,plants_over_humans,fr,Mes plantes n'ont pas besoin de WiFi pour pousser - Plants & Garden (French) Design,"« Mes plantes n'ont pas besoin de WiFi pour pousser » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, plantes, n'ont, besoin, wifi, pousser, plants over humans, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/aoh_wifi_fr__dark.png | produits/niches/aoh_wifi_fr__light.png
plants_crazy_lady_en,niches,plants_garden,Plants & Garden,houseplants,en,Crazy Plant Lady - Plants & Garden Design,"« Crazy Plant Lady » en typographie minimaliste et percutante. Un design pour les accros aux plantes. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #plants_garden #typographie","plant lover, plant mom, gardening, botanical, succulent, crazy, plant, lady, houseplants, plants & garden, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/niches/plants_crazy_lady_en__dark.png | produits/niches/plants_crazy_lady_en__light.png
