id,collection,theme,theme_label,subniche,lang,title,description,tags,file_dark,file_light
pl_6e_extinction_fr,punchlines,climate,Climate & Ecology,,fr,6ème Extinction Édition Limitée - Climate & Ecology (French) Design,"« 6ème Extinction Édition Limitée » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es écolo et les éco-conscient·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #climate #typographie","climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, extinction, édition, limitée, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_6e_extinction_fr__dark.png,produits/punchlines/pl_6e_extinction_fr__light.png
pl_99_en,punchlines,work,Work & Office Humor,,en,99 Problems And Rent Is 98 - Work & Office Humor Typography Design,"""99 Problems And Rent Is 98"" in clean gold-and-black minimalist typography. A statement design for tired employees and office workers. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #work #typography","office humor, work shirt, coworker gift, monday, sarcastic work, problems, rent, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_99_en__dark.png,produits/punchlines/pl_99_en__light.png
pl_99_loyer_fr,punchlines,work,Work & Office Humor,,fr,99 Problèmes Et Le Loyer En Est 98 - Work & Office Humor (French) Design,"« 99 Problèmes Et Le Loyer En Est 98 » en typographie or et noir, minimaliste et percutante. Un design pour les salarié·es fatigué·es et accros au bureau. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #work #typographie","office humor, work shirt, coworker gift, monday, sarcastic work, problèmes, loyer, work & office humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_99_loyer_fr__dark.png,produits/punchlines/pl_99_loyer_fr__light.png
pl_abattoir_fr,punchlines,animals,Animal Rights & Vegan,,fr,"Un Cri Dans L'Abattoir, Un Silence Dans L'Assiette - Animal Rights & Vegan (French) Design","« Un Cri Dans L'Abattoir, Un Silence Dans L'Assiette » en typographie or et noir, minimaliste et percutante. Un design pour les vegans et les défenseur·ses des animaux. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #animals #typographie","vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, l'abattoir, silence, l'assiette, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_abattoir_fr__dark.png,produits/punchlines/pl_abattoir_fr__light.png
pl_adulte_arnaque_fr,punchlines,existential,Existential & Dark Humor,,fr,Être Adulte C'Est Une Arnaque - Existential & Dark Humor (French) Design,"« Être Adulte C'Est Une Arnaque » en typographie or et noir, minimaliste et percutante. Un design pour les amateur·ices d'humour noir et d'absurde. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #existential #typographie","existential, nihilism, dark humor, philosophy, absurd, adulte, c'est, arnaque, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_adulte_arnaque_fr__dark.png,produits/punchlines/pl_adulte_arnaque_fr__light.png
pl_adulting_en,punchlines,existential,Existential & Dark Humor,,en,Adulting Is A Scam - Existential & Dark Humor Typography Design,"""Adulting Is A Scam"" in clean gold-and-black minimalist typography. A statement design for lovers of dark humor and the absurd. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #existential #typography","existential, nihilism, dark humor, philosophy, absurd, adulting, scam, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_adulting_en__dark.png,produits/punchlines/pl_adulting_en__light.png
pl_allergique_lactose_fr,punchlines,existential,Existential & Dark Humor,,fr,Allergique Aux Conneries (Et Au Lactose) - Existential & Dark Humor (French) Design,"« Allergique Aux Conneries (Et Au Lactose) » en typographie or et noir, minimaliste et percutante. Un design pour les amateur·ices d'humour noir et d'absurde. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #existential #typographie","existential, nihilism, dark humor, philosophy, absurd, allergique, conneries, lactose, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_allergique_lactose_fr__dark.png,produits/punchlines/pl_allergique_lactose_fr__light.png
pl_another_world_en,punchlines,existential,Existential & Dark Humor,,en,Another World Is Possible - Existential & Dark Humor Typography Design,"""Another World Is Possible"" in clean gold-and-black minimalist typography. A statement design for lovers of dark humor and the absurd. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #existential #typography","existential, nihilism, dark humor, philosophy, absurd, another, world, possible, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_another_world_en__dark.png,produits/punchlines/pl_another_world_en__light.png
pl_anthropocene_fr,punchlines,climate,Climate & Ecology,,fr,Bienvenue Dans L'Anthropocène (Profitez Bien) - Climate & Ecology (French) Design,"« Bienvenue Dans L'Anthropocène (Profitez Bien) » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es écolo et les éco-conscient·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #climate #typographie","climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, bienvenue, l'anthropocène, profitez, bien, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_anthropocene_fr__dark.png,produits/punchlines/pl_anthropocene_fr__light.png
pl_anti_traditions_fr,punchlines,existential,Existential & Dark Humor,,fr,Traditionnellement Anti-Traditions - Existential & Dark Humor (French) Design,"« Traditionnellement Anti-Traditions » en typographie or et noir, minimaliste et percutante. Un design pour les amateur·ices d'humour noir et d'absurde. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #existential #typographie","existential, nihilism, dark humor, philosophy, absurd, traditionnellement, anti, traditions, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_anti_traditions_fr__dark.png,produits/punchlines/pl_anti_traditions_fr__light.png
pl_asteroid_en,punchlines,climate,Climate & Ecology,,en,We Are The Asteroid - Climate & Ecology Typography Design,"""We Are The Asteroid"" in clean gold-and-black minimalist typography. A statement design for climate activists and eco-conscious people. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #climate #typography","climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, asteroid, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_asteroid_en__dark.png,produits/punchlines/pl_asteroid_en__light.png
pl_atoms_en,punchlines,existential,Existential & Dark Humor,,en,We're Just Atoms Pretending - Existential & Dark Humor Typography Design,"""We're Just Atoms Pretending"" in clean gold-and-black minimalist typography. A statement design for lovers of dark humor and the absurd. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #existential #typography","existential, nihilism, dark humor, philosophy, absurd, we're, atoms, pretending, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_atoms_en__dark.png,produits/punchlines/pl_atoms_en__light.png
pl_auto_extinction_fr,punchlines,climate,Climate & Ecology,,fr,Auto-Extinction En Cours - Climate & Ecology (French) Design,"« Auto-Extinction En Cours » en typographie or et noir, minimaliste et percutante. Un design pour les militant·es écolo et les éco-conscient·es. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #climate #typographie","climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, auto, extinction, cours, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_auto_extinction_fr__dark.png,produits/punchlines/pl_auto_extinction_fr__light.png
pl_awkward_en,punchlines,existential,Existential & Dark Humor,,en,"I Came, I Saw, I Made It Awkward - Existential & Dark Humor Typography Design","""I Came, I Saw, I Made It Awkward"" in clean gold-and-black minimalist typography. A statement design for lovers of dark humor and the absurd. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #existential #typography","existential, nihilism, dark humor, philosophy, absurd, came, made, awkward, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_awkward_en__dark.png,produits/punchlines/pl_awkward_en__light.png
pl_be_storm_en,punchlines,existential,Existential & Dark Humor,,en,Be The Storm - Existential & Dark Humor Typography Design,"""Be The Storm"" in clean gold-and-black minimalist typography. A statement design for lovers of dark humor and the absurd. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #existential #typography","existential, nihilism, dark humor, philosophy, absurd, storm, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/punchlines/pl_be_storm_en__dark.png,produits/punchlines/pl_be_storm_en__light.png
