id,collection,theme,theme_label,subniche,lang,title,description,tags,file_dark,file_light
an_against_en,anti,antiracism,Anti-Racism,,en,"Against Hate, Greed, Fascism, Pollution, Bigotry, Cruelty, - Anti-Racism Typography Design","""Against Hate, Greed, Fascism, Pollution, Bigotry, Cruelty,"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, against, hate, greed, fascism, pollution, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_against_en__dark.png,produits/anti/an_against_en__light.png
an_allergic_en,anti,antiracism,Anti-Racism,,en,"Allergic To Racists, Fascists, Bosses, Mondays, Small Talk, Excuses, - Anti-Racism Typography Design","""Allergic To Racists, Fascists, Bosses, Mondays, Small Talk, Excuses,"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, allergic, racists, fascists, bosses, mondays, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_allergic_en__dark.png,produits/anti/an_allergic_en__light.png
an_anti_en,anti,antiracism,Anti-Racism,,en,"Anti Fascism, Capitalism, Billionaires, Polluters, Racism, Patriarchy, - Anti-Racism Typography Design","""Anti Fascism, Capitalism, Billionaires, Polluters, Racism, Patriarchy,"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, anti, fascism, capitalism, billionaires, polluters, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_anti_en__dark.png,produits/anti/an_anti_en__light.png
an_anticons_fr,anti,antiracism,Anti-Racism,,fr,"Anti Cons, Fachos, Pollueurs, Hypocrites, Lâches, Donneurs - Anti-Racism (French) Design","« Anti Cons, Fachos, Pollueurs, Hypocrites, Lâches, Donneurs » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, anti, cons, fachos, pollueurs, hypocrites, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_anticons_fr__dark.png,produits/anti/an_anticons_fr__light.png
an_freezone_en,anti,antiracism,Anti-Racism,,en,"Free Of Racism, Homophobia, Sexism, Hate, Fear, Ableism, - Anti-Racism Typography Design","""Free Of Racism, Homophobia, Sexism, Hate, Fear, Ableism,"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, free, racism, homophobia, sexism, hate, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/anti/an_freezone_en__dark.png,produits/anti/an_freezone_en__light.png
ar_not_facho_fr,arrow,antiracism,Anti-Racism,,fr,Pas D'Accord Avec Le Facho - Anti-Racism (French) Design,"« Pas D'Accord Avec Le Facho » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, d'accord, facho, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/arrow/ar_not_facho_fr__dark.png,produits/arrow/ar_not_facho_fr__light.png
co_babylon_en,corrige,antiracism,Anti-Racism,,en,Chase The Bag → System (Babylon) - Anti-Racism Typography Design,"""Chase The Bag → System (Babylon)"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, chase, system, babylon, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_babylon_en__dark.png,produits/corrige/co_babylon_en__light.png
co_chat_juge_fr,corrige,antiracism,Anti-Racism,,fr,Mon Chat Juge Tout Le Monde → Surtout Les Fachos - Anti-Racism (French) Design,"« Mon Chat Juge Tout Le Monde → Surtout Les Fachos » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, chat, juge, monde, surtout, fachos, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_chat_juge_fr__dark.png,produits/corrige/co_chat_juge_fr__light.png
co_ok_boomer_en,corrige,antiracism,Anti-Racism,,en,Ok Boomer → Bigot - Anti-Racism Typography Design,"""Ok Boomer → Bigot"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, boomer, bigot, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_ok_boomer_en__dark.png,produits/corrige/co_ok_boomer_en__light.png
co_pas_raciste_fr,corrige,antiracism,Anti-Racism,,fr,"Je Suis Pas Raciste Mais... → (Si, En Fait) - Anti-Racism (French) Design","« Je Suis Pas Raciste Mais... → (Si, En Fait) » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, suis, raciste, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/corrige/co_pas_raciste_fr__dark.png,produits/corrige/co_pas_raciste_fr__light.png
fm_card_fachos_fr,formats,antiracism,Anti-Racism,card,fr,Carton Rouge Aux Fachos - Anti-Racism (French) Design,"« Carton Rouge Aux Fachos » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, carton, rouge, fachos, card, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_card_fachos_fr__dark.png,produits/formats/fm_card_fachos_fr__light.png
fm_card_fascism_en,formats,antiracism,Anti-Racism,card,en,Red Card To Fascism - Anti-Racism Typography Design,"""Red Card To Fascism"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, card, fascism, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_card_fascism_en__dark.png,produits/formats/fm_card_fascism_en__light.png
fm_card_racism_en,formats,antiracism,Anti-Racism,card,en,Red Card To Racism - Anti-Racism Typography Design,"""Red Card To Racism"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, card, racism, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_card_racism_en__dark.png,produits/formats/fm_card_racism_en__light.png
fm_card_racisme_fr,formats,antiracism,Anti-Racism,card,fr,Carton Rouge Au Racisme - Anti-Racism (French) Design,"« Carton Rouge Au Racisme » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, carton, rouge, racisme, card, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/formats/fm_card_racisme_fr__dark.png,produits/formats/fm_card_racisme_fr__light.png
he_immigrants_fr,heart,antiracism,Anti-Racism,,fr,J' love Les (Im)Migrants - Anti-Racism (French) Design,"« J' love Les (Im)Migrants » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, love, migrants, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/heart/he_immigrants_fr__dark.png,produits/heart/he_immigrants_fr__light.png
ir_facho_neurones_fr,ironique,antiracism,Anti-Racism,,fr,"Toi Et Tes Idées Fachos, Vous Faites Pas Le Poids - Anti-Racism (French) Design","« Toi Et Tes Idées Fachos, Vous Faites Pas Le Poids » en typographie or et noir, minimaliste et percutante. Un design pour les antiracistes et les défenseur·ses des droits humains. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #antiracism #typographie","anti racism, human rights, social justice, equality, no racism, solidarity, idées, fachos, faites, poids, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/ironique/ir_facho_neurones_fr__dark.png,produits/ironique/ir_facho_neurones_fr__light.png
ir_great_personality_en,ironique,antiracism,Anti-Racism,,en,You Have A Great Personality For A Bigot - Anti-Racism Typography Design,"""You Have A Great Personality For A Bigot"" in clean gold-and-black minimalist typography. A statement design for anti-racists and human-rights advocates. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #antiracism #typography","anti racism, human rights, social justice, equality, no racism, solidarity, great, personality, bigot, anti-racism, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/ironique/ir_great_personality_en__dark.png,produits/ironique/ir_great_personality_en__light.png
