id,collection,theme,theme_label,subniche,lang,title,tags,file_dark,file_light
he_gveganes_fr,heart,animals,Animal Rights & Vegan,,fr,J' love Les (Vé)Gens | Animal Rights & Vegan (French) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, love, gens, heart, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/heart/he_gveganes_fr__dark.png,produits/heart/he_gveganes_fr__light.png
id_vegan_en,identite,animals,Animal Rights & Vegan,,en,Vegan | Animal Rights & Vegan (English) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, identite, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/identite/id_vegan_en__dark.png,produits/identite/id_vegan_en__light.png
id_vegana_es,identite,animals,Animal Rights & Vegan,,es,Vegana | Animal Rights & Vegan (Spanish) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, vegana, identite, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/identite/id_vegana_es__dark.png,produits/identite/id_vegana_es__light.png
vegan_loud_en,niches,animals,Animal Rights & Vegan,vegan,en,Vegan & Loud About It | Animal Rights & Vegan (English) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, loud, about, niches, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/vegan_loud_en__dark.png,produits/niches/vegan_loud_en__light.png
vegan_powered_plants_en,niches,animals,Animal Rights & Vegan,vegan,en,Powered by Plants | Animal Rights & Vegan (English) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, powered, plants, niches, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/vegan_powered_plants_en__dark.png,produits/niches/vegan_powered_plants_en__light.png
vegan_protein_en,niches,animals,Animal Rights & Vegan,vegan,en,But Where Do You Get Your Protein? | Animal Rights & Vegan (English) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, where, protein, niches, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/vegan_protein_en__dark.png,produits/niches/vegan_protein_en__light.png
vet_hug_animals_en,niches,animals,Animal Rights & Vegan,vet_tech,en,I Hug Animals for a Living | Animal Rights & Vegan (English) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, animals, living, vet tech, niches, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/vet_hug_animals_en__dark.png,produits/niches/vet_hug_animals_en__light.png
pl_abattoir_fr,punchlines,animals,Animal Rights & Vegan,,fr,"Un Cri Dans L'Abattoir, Un Silence Dans L'Assiette | Animal Rights & Vegan (French) Design","vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, l'abattoir, silence, l'assiette, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_abattoir_fr__dark.png,produits/punchlines/pl_abattoir_fr__light.png
pl_cage_fr,punchlines,animals,Animal Rights & Vegan,,fr,La Cage N'Est Jamais Confortable | Animal Rights & Vegan (French) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, cage, n'est, jamais, confortable, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_cage_fr__dark.png,produits/punchlines/pl_cage_fr__light.png
pl_corrida_fr,punchlines,animals,Animal Rights & Vegan,,fr,La Corrida Est Un Meurtre | Animal Rights & Vegan (French) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, corrida, meurtre, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_corrida_fr__dark.png,produits/punchlines/pl_corrida_fr__light.png
pl_eat_rich_vegan_en,punchlines,animals,Animal Rights & Vegan,,en,"Eat The Rich. Plant-Based, Obviously. | Animal Rights & Vegan (English) Design","vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, rich, plant, based, obviously, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_eat_rich_vegan_en__dark.png,produits/punchlines/pl_eat_rich_vegan_en__light.png
pl_elevage_crime_fr,punchlines,animals,Animal Rights & Vegan,,fr,L'Élevage Intensif Est Un Crime | Animal Rights & Vegan (French) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, l'élevage, intensif, crime, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_elevage_crime_fr__dark.png,produits/punchlines/pl_elevage_crime_fr__light.png
pl_fourrure_honte_fr,punchlines,animals,Animal Rights & Vegan,,fr,"La Fourrure, C'Est La Honte | Animal Rights & Vegan (French) Design","vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, fourrure, c'est, honte, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_fourrure_honte_fr__dark.png,produits/punchlines/pl_fourrure_honte_fr__light.png
pl_manteau_fr,punchlines,animals,Animal Rights & Vegan,,fr,Leur Peau N'Est Pas Un Manteau | Animal Rights & Vegan (French) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, peau, n'est, manteau, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_manteau_fr__dark.png,produits/punchlines/pl_manteau_fr__light.png
pl_not_food_en,punchlines,animals,Animal Rights & Vegan,,en,Not Food. Someone. | Animal Rights & Vegan (English) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, food, someone, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_not_food_en__dark.png,produits/punchlines/pl_not_food_en__light.png
pl_specisme_fr,punchlines,animals,Animal Rights & Vegan,,fr,Le Spécisme Est Une Idéologie | Animal Rights & Vegan (French) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, spécisme, idéologie, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_specisme_fr__dark.png,produits/punchlines/pl_specisme_fr__light.png
pl_steak_cadavre_fr,punchlines,animals,Animal Rights & Vegan,,fr,Un Steak = Un Cadavre | Animal Rights & Vegan (French) Design,"vegan, animal rights, vegan gift, save animals, plant based, cruelty free, animal lover, steak, cadavre, punchlines, animal rights & vegan, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_steak_cadavre_fr__dark.png,produits/punchlines/pl_steak_cadavre_fr__light.png
