filename_pattern,image_found,title,tags,description,best_products,community,humor_level,style,trending_score
plague_doctor_wash_your_hands*.png,yes,Plague Doctor Wash Your Hands,"plague doctor, hand sanitizer, banner, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,69
axolotl_social_battery_low*.png,yes,Axolotl Social Battery Low,"axolotl, 1 battery icon, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,56
unbothered_capybara_iced_coffee*.png,yes,Unbothered Capybara Iced Coffee,"capybara, iced coffee cup, sweat drop, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,56
overthinking_champion_trophy*.png,yes,Overthinking Champion Trophy,"trophy, brain, plaque, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,48
anxious_cowboy_duck*.png,yes,Anxious Cowboy Duck,"duck, cowboy hat, speech bubble, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
shrimp_driving_monster_truck*.png,yes,Shrimp Driving Monster Truck,"shrimp, monster truck, trucker hat, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
pigeon_businessman_french_fry*.png,yes,Pigeon Businessman French Fry,"pigeon, business suit, french fry, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
goose_chef_chaos_whisk*.png,yes,Goose Chef Chaos Whisk,"goose, chef hat, whisk, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
screaming_opossum_anxiety_badge*.png,yes,Screaming Opossum Anxiety Badge,"opossum, banner, screaming face, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
grim_reaper_boba_break*.png,yes,Grim Reaper Boba Break,"grim reaper, boba cup, scythe, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
intrusive_thoughts_skateboard_brain*.png,yes,Intrusive Thoughts Skateboard Brain,"brain, skateboard, sunglasses, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
ghost_watering_dying_plant*.png,yes,Ghost Watering Dying Plant,"ghost, watering can, dying plant, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
certified_chaos_goblin_badge*.png,yes,Certified Chaos Goblin Badge,"goblin, banner, match, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
d20_critical_fail_dunce*.png,yes,D20 Critical Fail Dunce,"d20 die, dunce cap, tears, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
sourdough_starter_drama_jar*.png,yes,Sourdough Starter Drama Jar,"mason jar, sourdough starter, label, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,40
existential_frog_void_tea*.png,yes,Existential Frog Void Tea,"frog, mushroom, teacup, illustration, sticker, gift, funny, cute",,"sticker, t-shirt",,,,34
