id,collection,theme,theme_label,subniche,lang,title,description,tags,files
ne_adhd_en,neuro,mental_health,Mental Health & Neurodivergent,,en,"ADHD: I Finish Every— Oh, A Bird! - Mental Health & Neurodivergent Design","""ADHD: I Finish Every— Oh, A Bird!"" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, finish, every, bird, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_adhd_en__dark.png | produits/neuro/ne_adhd_en__light.png
ne_alphabet_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,Je Connais L'Alphabet Par Cœur : A B D C F E... - Mental Health & Neurodivergent (French) Design,"« Je Connais L'Alphabet Par Cœur : A B D C F E... » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, connais, l'alphabet, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_alphabet_fr__dark.png | produits/neuro/ne_alphabet_fr__light.png
ne_anxiety_en,neuro,mental_health,Mental Health & Neurodivergent,,en,My Anxiety And I Have Decided Everyone Hates Us - Mental Health & Neurodivergent Design,"""My Anxiety And I Have Decided Everyone Hates Us"" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, decided, everyone, hates, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_anxiety_en__dark.png | produits/neuro/ne_anxiety_en__light.png
ne_anxieux_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,Mon Anxiété Et Moi On A Déjà Prévu Le Pire - Mental Health & Neurodivergent (French) Design,"« Mon Anxiété Et Moi On A Déjà Prévu Le Pire » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, anxiété, déjà, prévu, pire, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_anxieux_fr__dark.png | produits/neuro/ne_anxieux_fr__light.png
ne_autism_en,neuro,mental_health,Mental Health & Neurodivergent,,en,Autistic & Awesome Ask Me About Trains - Mental Health & Neurodivergent Design,"""Autistic & Awesome Ask Me About Trains"" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, autistic, awesome, about, trains, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_autism_en__dark.png | produits/neuro/ne_autism_en__light.png
ne_autiste_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,Autiste Et Fier Demande-Moi Un Truc Précis - Mental Health & Neurodivergent (French) Design,"« Autiste Et Fier Demande-Moi Un Truc Précis » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, autiste, fier, demande, truc, précis, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_autiste_fr__dark.png | produits/neuro/ne_autiste_fr__light.png
ne_cerveau_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,Cerveau Différent. Même Valeur. - Mental Health & Neurodivergent (French) Design,"« Cerveau Différent. Même Valeur. » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, cerveau, différent, même, valeur, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_cerveau_fr__dark.png | produits/neuro/ne_cerveau_fr__light.png
ne_different_brain_en,neuro,mental_health,Mental Health & Neurodivergent,,en,Different Brain. Same Worth. - Mental Health & Neurodivergent Design,"""Different Brain. Same Worth."" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, different, brain, same, worth, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_different_brain_en__dark.png | produits/neuro/ne_different_brain_en__light.png
ne_dys_team_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,Team Dys On Lit Lentement Mais On Pense Vite - Mental Health & Neurodivergent (French) Design,"« Team Dys On Lit Lentement Mais On Pense Vite » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, team, lentement, pense, vite, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_dys_team_fr__dark.png | produits/neuro/ne_dys_team_fr__light.png
ne_dyscalculia_en,neuro,mental_health,Mental Health & Neurodivergent,,en,Dyscalculic & 100% Sure This Is 200% - Mental Health & Neurodivergent Design,"""Dyscalculic & 100% Sure This Is 200%"" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, dyscalculic, sure, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_dyscalculia_en__dark.png | produits/neuro/ne_dyscalculia_en__light.png
ne_dyscalculie_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,"Dyscalculique, Aussi Sûr Que 1 + 1 Font 3 - Mental Health & Neurodivergent (French) Design","« Dyscalculique, Aussi Sûr Que 1 + 1 Font 3 » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, dyscalculique, aussi, font, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_dyscalculie_fr__dark.png | produits/neuro/ne_dyscalculie_fr__light.png
ne_dyslexic_en,neuro,mental_health,Mental Health & Neurodivergent,,en,Proud To Be Dsylexic (See? Fine.) - Mental Health & Neurodivergent Design,"""Proud To Be Dsylexic (See? Fine.)"" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, proud, dsylexic, fine, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_dyslexic_en__dark.png | produits/neuro/ne_dyslexic_en__light.png
ne_dyslexique_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,Fier D'Être Dsylexqiue ! - Mental Health & Neurodivergent (French) Design,"« Fier D'Être Dsylexqiue ! » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, fier, d'être, dsylexqiue, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_dyslexique_fr__dark.png | produits/neuro/ne_dyslexique_fr__light.png
ne_dyspraxie_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,Dyspraxique : Champion Du Monde Des Bleus - Mental Health & Neurodivergent (French) Design,"« Dyspraxique : Champion Du Monde Des Bleus » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, dyspraxique, champion, monde, bleus, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_dyspraxie_fr__dark.png | produits/neuro/ne_dyspraxie_fr__light.png
ne_late_en,neuro,mental_health,Mental Health & Neurodivergent,,en,Time Blindness: I'm Always Almost There - Mental Health & Neurodivergent Design,"""Time Blindness: I'm Always Almost There"" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, time, blindness, always, almost, there, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_late_en__dark.png | produits/neuro/ne_late_en__light.png
ne_neuroatypique_fr,neuro,mental_health,Mental Health & Neurodivergent,,fr,Pas Cassé. Juste Neuro- Atypique - Mental Health & Neurodivergent (French) Design,"« Pas Cassé. Juste Neuro- Atypique » en typographie minimaliste et percutante. Un design pour les neuroatypiques. Idée cadeau parfaite, à porter ou offrir. Disponible sur t-shirt, sweat, sticker, mug, tote bag, poster et plus. #mental_health #typographie","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, cassé, juste, neuro, atypique, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_neuroatypique_fr__dark.png | produits/neuro/ne_neuroatypique_fr__light.png
ne_neurospicy_en,neuro,mental_health,Mental Health & Neurodivergent,,en,Not Broken. Just Neuro-Spicy - Mental Health & Neurodivergent Design,"""Not Broken. Just Neuro-Spicy"" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, broken, neuro, spicy, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_neurospicy_en__dark.png | produits/neuro/ne_neurospicy_en__light.png
ne_orgullo_es,neuro,mental_health,Mental Health & Neurodivergent,,es,Orgulloso De Ser Disléxico (O Dixléxico) - Mental Health & Neurodivergent (Spanish) Design,"""Orgulloso De Ser Disléxico (O Dixléxico)"" in clean minimalist typography. A statement design for the neurodivergent and mental-health aware. Makes a perfect gift to wear or give. Available on tees, hoodies, stickers, mugs, tote bags, posters and more. #mental_health #typography","mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, orgulloso, disléxico, dixléxico, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy design, statement tee, for men, for women",produits/neuro/ne_orgullo_es__dark.png | produits/neuro/ne_orgullo_es__light.png
