id,collection,theme,theme_label,subniche,lang,title,tags,file_dark,file_light
pl_adulte_arnaque_fr,punchlines,existential,Existential & Dark Humor,,fr,Être Adulte C'Est Une Arnaque | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, adulte, c'est, arnaque, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_adulte_arnaque_fr__dark.png,produits/punchlines/pl_adulte_arnaque_fr__light.png
pl_adulting_en,punchlines,existential,Existential & Dark Humor,,en,Adulting Is A Scam | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, adulting, scam, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_adulting_en__dark.png,produits/punchlines/pl_adulting_en__light.png
pl_allergique_lactose_fr,punchlines,existential,Existential & Dark Humor,,fr,Allergique Aux Conneries (Et Au Lactose) | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, allergique, conneries, lactose, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_allergique_lactose_fr__dark.png,produits/punchlines/pl_allergique_lactose_fr__light.png
pl_another_world_en,punchlines,existential,Existential & Dark Humor,,en,Another World Is Possible | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, another, world, possible, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_another_world_en__dark.png,produits/punchlines/pl_another_world_en__light.png
pl_atoms_en,punchlines,existential,Existential & Dark Humor,,en,We're Just Atoms Pretending | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, we're, atoms, pretending, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_atoms_en__dark.png,produits/punchlines/pl_atoms_en__light.png
pl_be_storm_en,punchlines,existential,Existential & Dark Humor,,en,Be The Storm | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, storm, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_be_storm_en__dark.png,produits/punchlines/pl_be_storm_en__light.png
pl_beaute_rue_fr,punchlines,existential,Existential & Dark Humor,,fr,La Beauté Est Dans La Rue | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, beauté, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_beaute_rue_fr__dark.png,produits/punchlines/pl_beaute_rue_fr__light.png
pl_born_adult_en,punchlines,existential,Existential & Dark Humor,,en,"Born To Die, Forced To Adult | Existential & Dark Humor (English) Design","existential, nihilism, dark humor, philosophy, absurd, deep quote, born, forced, adult, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_born_adult_en__dark.png,produits/punchlines/pl_born_adult_en__light.png
pl_brule_style_fr,punchlines,existential,Existential & Dark Humor,,fr,"On Brûle, Mais Avec Style | Existential & Dark Humor (French) Design","existential, nihilism, dark humor, philosophy, absurd, deep quote, brûle, style, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_brule_style_fr__dark.png,produits/punchlines/pl_brule_style_fr__light.png
pl_carpe_koi_fr,punchlines,existential,Existential & Dark Humor,,fr,"Carpe Diem, Carpe Koi | Existential & Dark Humor (French) Design","existential, nihilism, dark humor, philosophy, absurd, deep quote, carpe, diem, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_carpe_koi_fr__dark.png,produits/punchlines/pl_carpe_koi_fr__light.png
pl_carpe_nope_en,punchlines,existential,Existential & Dark Humor,,en,Carpe Diem? Carpe Nope. | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, carpe, diem, nope, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_carpe_nope_en__dark.png,produits/punchlines/pl_carpe_nope_en__light.png
pl_ceci_tshirt_fr,punchlines,existential,Existential & Dark Humor,,fr,Ceci N'Est Pas Un T-Shirt | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, ceci, n'est, shirt, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_ceci_tshirt_fr__dark.png,produits/punchlines/pl_ceci_tshirt_fr__light.png
pl_chronically_en,punchlines,existential,Existential & Dark Humor,,en,"Chronically Online, Eternally Tired | Existential & Dark Humor (English) Design","existential, nihilism, dark humor, philosophy, absurd, deep quote, chronically, online, eternally, tired, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_chronically_en__dark.png,produits/punchlines/pl_chronically_en__light.png
pl_cogito_bof_fr,punchlines,existential,Existential & Dark Humor,,fr,Cogito Ergo Bof | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, cogito, ergo, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_cogito_bof_fr__dark.png,produits/punchlines/pl_cogito_bof_fr__light.png
pl_compassion_en,punchlines,existential,Existential & Dark Humor,,en,Compassion Is Not A Trend | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, compassion, trend, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_compassion_en__dark.png,produits/punchlines/pl_compassion_en__light.png
pl_cours_camarade_fr,punchlines,existential,Existential & Dark Humor,,fr,"Cours Camarade, Le Vieux Monde Est Derrière Toi | Existential & Dark Humor (French) Design","existential, nihilism, dark humor, philosophy, absurd, deep quote, cours, camarade, vieux, monde, derrière, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_cours_camarade_fr__dark.png,produits/punchlines/pl_cours_camarade_fr__light.png
pl_demain_pire_fr,punchlines,existential,Existential & Dark Humor,,fr,Demain Sera Pire (Mais Ensoleillé) | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, demain, sera, pire, ensoleillé, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_demain_pire_fr__dark.png,produits/punchlines/pl_demain_pire_fr__light.png
pl_derniere_foret_fr,punchlines,existential,Existential & Dark Humor,,fr,"Quand La Dernière Forêt Tombera, On Comptera Nos Billets | Existential & Dark Humor (French) Design","existential, nihilism, dark humor, philosophy, absurd, deep quote, quand, dernière, forêt, tombera, comptera, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_derniere_foret_fr__dark.png,produits/punchlines/pl_derniere_foret_fr__light.png
pl_disobey_en,punchlines,existential,Existential & Dark Humor,,en,Disobey Beautifully | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, disobey, beautifully, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_disobey_en__dark.png,produits/punchlines/pl_disobey_en__light.png
pl_disparition_nous_fr,punchlines,existential,Existential & Dark Humor,,fr,Espèce En Voie De Disparition (Nous) | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, espèce, voie, disparition, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_disparition_nous_fr__dark.png,produits/punchlines/pl_disparition_nous_fr__light.png
pl_doomed_aesthetic_en,punchlines,existential,Existential & Dark Humor,,en,"Doomed, But Make It Aesthetic | Existential & Dark Humor (English) Design","existential, nihilism, dark humor, philosophy, absurd, deep quote, doomed, make, aesthetic, punchlines, existential & dark humor, funny shirt, typography, minimalist, gift idea, trendy, statement tee",produits/punchlines/pl_doomed_aesthetic_en__dark.png,produits/punchlines/pl_doomed_aesthetic_en__light.png
pl_droits_acquis_fr,punchlines,existential,Existential & Dark Humor,,fr,Aucun Droit N'Est Acquis | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, aucun, droit, n'est, acquis, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_droits_acquis_fr__dark.png,produits/punchlines/pl_droits_acquis_fr__light.png
pl_end_near_en,punchlines,existential,Existential & Dark Humor,,en,The End Is Near (Restrictions Apply) | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, near, restrictions, apply, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_end_near_en__dark.png,produits/punchlines/pl_end_near_en__light.png
pl_energie_sociale_fr,punchlines,existential,Existential & Dark Humor,,fr,Énergie Sociale : Épuisée | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, énergie, sociale, épuisée, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_energie_sociale_fr__dark.png,produits/punchlines/pl_energie_sociale_fr__light.png
pl_energy_saving_en,punchlines,existential,Existential & Dark Humor,,en,Not Lazy. Energy-Saving Mode. | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, lazy, energy, saving, mode, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_energy_saving_en__dark.png,produits/punchlines/pl_energy_saving_en__light.png
pl_enfer_rechauffement_fr,punchlines,existential,Existential & Dark Humor,,fr,Bienvenue En Enfer (Réchauffement Inclus) | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, bienvenue, enfer, réchauffement, inclus, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_enfer_rechauffement_fr__dark.png,produits/punchlines/pl_enfer_rechauffement_fr__light.png
pl_espoir_discipline_fr,punchlines,existential,Existential & Dark Humor,,fr,L'Espoir Est Une Discipline | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, l'espoir, discipline, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_espoir_discipline_fr__dark.png,produits/punchlines/pl_espoir_discipline_fr__light.png
pl_espoir_fatigue_fr,punchlines,existential,Existential & Dark Humor,,fr,L'Espoir Fait Vivre (Et Mourir Fatigué) | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, l'espoir, vivre, mourir, fatigué, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_espoir_fatigue_fr__dark.png,produits/punchlines/pl_espoir_fatigue_fr__light.png
pl_futur_avant_fr,punchlines,existential,Existential & Dark Humor,,fr,Le Futur Était Mieux Avant | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, futur, était, mieux, avant, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_futur_avant_fr__dark.png,produits/punchlines/pl_futur_avant_fr__light.png
pl_future_before_en,punchlines,existential,Existential & Dark Humor,,en,The Future Was Better Before | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, future, better, before, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_future_before_en__dark.png,produits/punchlines/pl_future_before_en__light.png
pl_future_female_en,punchlines,existential,Existential & Dark Humor,,en,The Future Is Inclusive | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, future, inclusive, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_future_female_en__dark.png,produits/punchlines/pl_future_female_en__light.png
pl_game_over_fr,punchlines,existential,Existential & Dark Humor,,fr,Game Over. Insère Une Pièce (On N'En A Plus) | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, game, over, insère, pièce, n'en, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_game_over_fr__dark.png,produits/punchlines/pl_game_over_fr__light.png
pl_graines_fr,punchlines,existential,Existential & Dark Humor,,fr,Ils Ont Voulu Nous Enterrer. Ils Ignoraient Qu'On Était Des Graines | Existential & Dark Humor (French) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, voulu, enterrer, ignoraient, qu'on, était, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_graines_fr__dark.png,produits/punchlines/pl_graines_fr__light.png
pl_hope_dies_en,punchlines,existential,Existential & Dark Humor,,en,Hope Dies Last. But It Dies. | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, hope, dies, last, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_hope_dies_en__dark.png,produits/punchlines/pl_hope_dies_en__light.png
pl_hope_discipline_en,punchlines,existential,Existential & Dark Humor,,en,Hope Is A Discipline | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, hope, discipline, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_hope_discipline_en__dark.png,produits/punchlines/pl_hope_discipline_en__light.png
pl_huitre_en,punchlines,existential,Existential & Dark Humor,,en,The Oyster Took It Hard | Existential & Dark Humor (English) Design,"existential, nihilism, dark humor, philosophy, absurd, deep quote, oyster, took, hard, punchlines, existential & dark humor, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/punchlines/pl_huitre_en__dark.png,produits/punchlines/pl_huitre_en__light.png
