id,collection,theme,theme_label,subniche,lang,title,tags,file_dark,file_light
3dp_98_fail_en,niches,humor,Funny & Sarcastic,3d_printing,en,Failed at 98% We Don't Talk About It | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, failed, don't, talk, about, 3d printing, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/3dp_98_fail_en__dark.png,produits/niches/3dp_98_fail_en__light.png
3dp_bed_level_en,niches,humor,Funny & Sarcastic,3d_printing,en,Bed Was Level The Print Said Otherwise | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, level, print, said, otherwise, 3d printing, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/3dp_bed_level_en__dark.png,produits/niches/3dp_bed_level_en__light.png
3dp_benchy_en,niches,humor,Funny & Sarcastic,3d_printing,en,My Benchy Strung Like a Harp | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, benchy, strung, harp, 3d printing, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/3dp_benchy_en__dark.png,produits/niches/3dp_benchy_en__light.png
3dp_filament_en,niches,humor,Funny & Sarcastic,3d_printing,en,I Changed Filament 4 Times for One Print | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, changed, filament, times, print, 3d printing, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/3dp_filament_en__dark.png,produits/niches/3dp_filament_en__light.png
3dp_first_layer_en,niches,mental_health,Mental Health & Neurodivergent,3d_printing,en,First Layer Anxiety Is a Diagnosis | Mental Health & Neurodivergent (English) Design,"mental health, neurodivergent, adhd, autism, anxiety, introvert, self care, neurospicy, first, layer, diagnosis, 3d printing, niches, mental health & neurodivergent, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/3dp_first_layer_en__dark.png,produits/niches/3dp_first_layer_en__light.png
3dp_nozzle_clog_en,niches,humor,Funny & Sarcastic,3d_printing,en,Nozzle Clogged Right in the Middle. Classic. | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, nozzle, clogged, right, middle, classic, 3d printing, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/3dp_nozzle_clog_en__dark.png,produits/niches/3dp_nozzle_clog_en__light.png
3dp_pla_petg_en,niches,humor,Funny & Sarcastic,3d_printing,en,PLA or PETG The Only Question That Matters | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, petg, question, matters, 3d printing, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/3dp_pla_petg_en__dark.png,produits/niches/3dp_pla_petg_en__light.png
acct_april_en,niches,relationship,Relationship & Single,accountants,en,April Is Just My Valentine's Day | Relationship & Single (English) Design,"single, dating, anti valentine, divorce, relationship humor, couple, april, valentine's, accountants, niches, relationship & single, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/acct_april_en__dark.png,produits/niches/acct_april_en__light.png
acct_debit_en,niches,humor,Funny & Sarcastic,accountants,en,In Debit We Trust | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, debit, trust, accountants, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/acct_debit_en__dark.png,produits/niches/acct_debit_en__light.png
acct_numbers_en,niches,humor,Funny & Sarcastic,accountants,en,I Know Numbers You Fear | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, know, numbers, fear, accountants, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/acct_numbers_en__dark.png,produits/niches/acct_numbers_en__light.png
aq_anubias_en,niches,humor,Funny & Sarcastic,aquascaping,en,Anubias on Driftwood Classic for a Reason | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, anubias, driftwood, classic, reason, aquascaping, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/aq_anubias_en__dark.png,produits/niches/aq_anubias_en__light.png
aq_bba_en,niches,humor,Funny & Sarcastic,aquascaping,en,BBA Is My Personal Nemesis | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, personal, nemesis, aquascaping, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/aq_bba_en__dark.png,produits/niches/aq_bba_en__light.png
aq_co2_en,niches,climate,Climate & Ecology,aquascaping,en,CO2 Off Tank Sad | Climate & Ecology (English) Design,"climate change, save the planet, ecology, environment, climate activist, earth day, eco friendly, tank, aquascaping, niches, climate & ecology, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/aq_co2_en__dark.png,produits/niches/aq_co2_en__light.png
aq_dutch_en,niches,humor,Funny & Sarcastic,aquascaping,en,Dutch Style No Half Measures | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, dutch, style, half, measures, aquascaping, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/aq_dutch_en__dark.png,produits/niches/aq_dutch_en__light.png
aq_ei_dosing_en,niches,humor,Funny & Sarcastic,aquascaping,en,EI Dosing & Trusting the Process | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, dosing, trusting, process, aquascaping, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/aq_ei_dosing_en__dark.png,produits/niches/aq_ei_dosing_en__light.png
aq_hardscape_en,niches,humor,Funny & Sarcastic,aquascaping,en,My Hardscape Has Better Composition Than My Life | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, hardscape, better, composition, than, life, aquascaping, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/aq_hardscape_en__dark.png,produits/niches/aq_hardscape_en__light.png
aq_trim_saturday_en,niches,humor,Funny & Sarcastic,aquascaping,en,I Trim Every Saturday Non-Negotiable | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, trim, every, saturday, negotiable, aquascaping, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/aq_trim_saturday_en__dark.png,produits/niches/aq_trim_saturday_en__light.png
astro_just_a_girl_en,niches,humor,Funny & Sarcastic,astronomy,en,Just a Girl Who Loves Stars | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, girl, loves, stars, astronomy, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/astro_just_a_girl_en__dark.png,produits/niches/astro_just_a_girl_en__light.png
astro_keep_looking_up_en,niches,humor,Funny & Sarcastic,astronomy,en,Keep Looking Up | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, keep, looking, astronomy, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/astro_keep_looking_up_en__dark.png,produits/niches/astro_keep_looking_up_en__light.png
astro_more_space_en,niches,humor,Funny & Sarcastic,astronomy,en,I Need More Space | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, need, more, space, astronomy, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/astro_more_space_en__dark.png,produits/niches/astro_more_space_en__light.png
astro_night_owl_en,niches,humor,Funny & Sarcastic,astronomy,en,Stargazer Night Owl | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, stargazer, night, astronomy, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/astro_night_owl_en__dark.png,produits/niches/astro_night_owl_en__light.png
axe_bullseye_en,niches,humor,Funny & Sarcastic,axe_throwing,en,Bullseye or Nothing | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, bullseye, nothing, axe throwing, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/axe_bullseye_en__dark.png,produits/niches/axe_bullseye_en__light.png
axe_stress_relief_en,niches,humor,Funny & Sarcastic,axe_throwing,en,Stress Relief Comes in Sharp | Funny & Sarcastic (English) Design,"funny saying, sarcastic, sarcasm, humor, meme shirt, funny quote, introvert humor, stress, relief, comes, sharp, axe throwing, niches, funny & sarcastic, funny shirt, typography, minimalist, aesthetic, gift idea, trendy, statement tee",produits/niches/axe_stress_relief_en__dark.png,produits/niches/axe_stress_relief_en__light.png
